This Republican Has A Funny Joke About Ebola Coming to New York City.,neg
Republican Congressman Jason Chaffetz Is Unaware There's No Surgeon General To Head Ebola Response.,neg
Once again babies of 14 months know things that grownup Republican rank and file voters don't seem to.,neg
A Republican Majority Won’t Cut It for Mike Lee He Wants Something More.,pos
Republican Marilinda Garcia accused of plagiarizing parts of two speeches.,neg
Funny how the racism within the Republican party did not go full on racist until Obama was elected President.,neg
Not An Onion Piece Republican Dan Patrick God Speaks Through Duck Dynasty.,neg
Bernie Sanders Explains Why No Middle Class American Should Vote Republican.,neg
Jeanne Shaheen No Need To Come Campaign For Me Mr President.,pos
Scott Walker’s Wisconsin Comeback is More Republican StateWrecking.,neg
What’s really on the ballot on Nov 4  Analysts say a Republican Congress could pass legislation to kill.,neg
Morning Joe RNC GOP Voting Republican is NOT a VICTIMLESS Crime.,neg
Elise Stefanik can’t even be a woman becse she’s a Republican.,pos
Democrats Highlight NC Republican Speaker Thom Tillis' Disastrous Legislative Record.,neg
Ridiculous Republican Senate Ad I Castrate Hogs!,neg
Utah Republican Rep Jason Chaffetz Is Unaware There Is No Surgeon General To Head Ebola Response.,neg
it's OK to vote for freedom even if it means voting Republican.,pos
Tucker Carlson Calls Liberals AmericaHating Islamic Terrorist Appeasers.,pos
The most Republican state in America is no big surprise.,pos
Krugman defends Obama the liberal Republican.,neg
Obamacare forces parents to buy dental insurance for newborns Most DON'T HAVE TEETH vote Republican.,pos
Lifelong Black Democrat Votes Republican Because Obama Is Destroying This Country.,pos
Significant Number of Republican Candidates Running Unopposed.,pos
There are 42 black members of Congress Only one is a Republican.,neg
I am so sick of Republican conservative so called values.,neg
Republican Governors Just Might Save the Democratic Senate.,neg
Republican Senate Wave Is Disintegrating As Democrats Again Outraise Republicans.,neg
Another Republican supports my reelection campaign Thank you!,pos
Here's my review of How Republicans Can WIN in a Changing America Be inspired and get out and vote!,pos
Can a gay Republican incumbent win in central Pennsylvania?,pos
Jose's story and why you need to vote Republican for our future.,pos
Republican Barbarians at the Gates.,pos
About that Republican Government ShutDown.,pos
WOW ummm voting republican means supporting these losers.,neg
Male Republican for Governor in Deep South calls female Democrat Guv a whore.,neg
Wealthy Kansas Republican couple give to pro Cutler PAC.,pos
Chamber Of Commerce Not Helping Republican In Close Senate Race.,neg
Barone Why the House Will Stay Republican.,pos
Funny how Republican propaganda sneaks into the news as news all the time.,neg
GOP Look at all these rich white people Republican rogue's gallery!,neg
Dem candidate for SC Governor calls Republican and current Gov Nikki Haley a whore.,pos
